hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
5.037,3.537,19,CD8.NaiveLike,0.842,0.064,0.867,0.086,0.12,0.178,0.06,0.629,0.367,2.533,0.343,1.095,0.253,0.151,0.23,0.737,0.689,0.973,1.033,0.842,0.0,1.123,0.0,0.0,0.319
-6.535,0.0,27,CD8.TPEX,0.963,0.067,1.404,0.176,0.139,1.266,0.048,1.027,0.637,0.774,0.497,0.294,0.102,0.244,0.963,0.899,0.54,0.03,0.135,0.353,0.03,0.672,0.157,2.684,0.626
-6.262,0.0,19,CD8.TPEX,1.0,0.0,0.701,0.354,0.147,0.636,0.096,0.629,1.116,1.252,0.651,0.16,0.263,0.307,0.554,0.446,0.612,0.0,0.161,0.221,0.152,0.715,0.457,2.776,0.486
-5.582,-4.009,25,CD8.TEX,1.0,0.053,0.801,1.164,0.265,2.178,0.762,0.879,0.341,0.2,0.923,0.057,0.047,0.662,1.884,1.108,0.962,0.0,0.096,0.932,0.121,0.084,0.838,0.081,0.149
-0.817,-0.943,27,CD8.EM,1.0,0.099,1.382,0.45,0.048,0.586,0.141,0.368,0.093,0.47,0.458,0.744,0.0,0.271,0.661,1.216,0.566,0.096,0.033,0.582,0.067,0.217,0.248,0.428,0.377
-6.262,-4.244,21,CD8.TEX,1.0,0.0,1.578,1.411,0.767,2.415,0.562,1.672,0.179,0.647,1.06,0.0,0.081,1.037,1.263,1.892,0.792,0.037,0.252,0.764,0.317,0.0,0.691,0.563,0.303
1.77,4.48,7,CD8.CM,1.0,0.0,0.497,0.237,0.0,0.7,0.0,0.0,0.0,1.149,0.0,0.215,0.0,0.242,0.676,0.215,0.609,0.0,0.516,0.458,0.286,0.74,0.0,0.452,0.297
1.225,3.065,25,CD8.CM,1.0,0.071,1.224,0.419,0.051,1.093,0.0,1.075,0.059,2.618,0.789,0.737,0.117,0.297,1.002,0.739,0.912,0.131,0.158,0.295,0.0,0.249,0.141,0.405,0.565
-4.901,-0.943,3,CD8.TPEX,1.0,0.0,0.0,0.489,0.0,0.0,0.0,0.958,0.0,0.411,1.299,0.0,0.0,0.8,0.489,1.669,0.489,0.0,0.0,0.0,0.0,1.275,0.0,0.893,0.0
-6.535,-1.886,4,CD8.TPEX,1.0,0.0,0.277,0.0,0.401,0.0,0.0,0.82,0.543,1.079,1.541,0.0,0.0,0.816,0.867,0.456,0.762,0.0,0.456,1.276,0.27,1.09,0.27,1.928,0.277
