UMAP_1,UMAP_2,state
5.079,3.429,CD8.NaiveLike
-6.508,0.015,CD8.TPEX
-6.295,-0.114,CD8.TPEX
-5.623,-4.093,CD8.TEX
-0.741,-0.908,CD8.EM
-6.319,-4.203,CD8.TEX
1.813,4.479,CD8.CM
1.181,2.981,CD8.CM
-4.864,-0.984,CD8.TPEX
-6.472,-1.8,CD8.TPEX
-5.99,-3.6,CD8.TEX
-4.569,-3.22,CD8.TEX
-6.507,-4.505,CD8.TEX
-6.098,-3.816,CD8.TEX
-5.088,-1.574,CD8.TPEX
3.596,2.874,CD8.CM
-6.557,-0.451,CD8.TPEX
-6.891,-0.492,CD8.TPEX
-7.219,-3.296,CD8.TEX
-4.754,0.26,CD8.TPEX
-6.526,-3.839,CD8.TEX
-4.474,-2.467,CD8.CM
-0.21,-1.674,CD8.CM
-1.586,-1.08,CD8.EM
-7.059,-4.11,CD8.TEX
-4.541,0.071,CD8.TPEX
-1.731,-1.101,CD8.TPEX
1.526,1.993,CD8.CM
-6.405,-1.991,CD8.TPEX
1.494,2.371,CD8.CM
1.76,1.345,CD8.CM
-1.103,-2.128,CD8.EM
3.937,3.148,CD8.CM
-6.548,-3.546,CD8.TEX
5.738,3.357,CD8.NaiveLike
-6.409,-3.378,CD8.TEX
-1.811,-2.001,CD8.EM
-7.013,-3.384,CD8.TEX
-6.646,-0.405,CD8.TPEX
-5.396,-3.394,CD8.TEX
-6.464,-3.612,CD8.TEX
-4.871,-3.472,CD8.TEX
-5.742,-0.534,CD8.TPEX
-0.144,0.558,CD8.EM
6.335,4.284,CD8.NaiveLike
-6.435,-0.204,CD8.TPEX
1.52,2.596,CD8.CM
-6.242,-0.081,CD8.TPEX
2.141,2.346,CD8.CM
2.283,1.446,CD8.CM
-5.299,-3.355,CD8.TEX
-1.132,-1.138,CD8.EM
2.715,1.74,CD8.CM
-3.373,-3.97,CD8.TEX
-6.507,-0.995,CD8.TPEX
-6.599,-3.291,CD8.TEX
-1.89,-1.759,CD8.EM
-5.883,-0.807,CD8.TPEX
-6.606,-3.357,CD8.TEX
