x,y,s
5.08,3.43,3
-6.51,0.02,6
-6.3,-0.11,6
-5.62,-4.09,5
-0.74,-0.91,1
-6.32,-4.2,5
1.81,4.48,0
1.18,2.98,0
-4.86,-0.98,6
-6.47,-1.8,6
-5.99,-3.6,5
-4.57,-3.22,5
-6.51,-4.5,5
-6.1,-3.82,5
-5.09,-1.57,6
3.6,2.87,0
-6.56,-0.45,6
-6.89,-0.49,6
-7.22,-3.3,5
-4.75,0.26,6
-6.53,-3.84,5
-4.47,-2.47,0
-0.21,-1.67,0
-1.59,-1.08,1
-7.06,-4.11,5
-4.54,0.07,6
-1.73,-1.1,6
1.53,1.99,0
-6.4,-1.99,6
1.49,2.37,0
1.76,1.34,0
-1.1,-2.13,1
3.94,3.15,0
-6.55,-3.55,5
5.74,3.36,3
-6.41,-3.38,5
-1.81,-2.0,1
-7.01,-3.38,5
-6.65,-0.4,6
-5.4,-3.39,5
-6.46,-3.61,5
-4.87,-3.47,5
-5.74,-0.53,6
-0.14,0.56,1
6.34,4.28,3
-6.44,-0.2,6
1.52,2.6,0
-6.24,-0.08,6
2.14,2.35,0
2.28,1.45,0
-5.3,-3.36,5
-1.13,-1.14,1
2.72,1.74,0
-3.37,-3.97,5
-6.51,-1.0,6
-6.6,-3.29,5
-1.89,-1.76,1
-5.88,-0.81,6
-6.61,-3.36,5
-6.83,-4.55,5
1.84,1.84,0
-6.92,-3.93,5
1.44,1.37,0
1.76,3.54,0
-0.06,-1.06,1
0.25,-0.23,0
-6.47,-4.72,5
-6.58,-3.12,5
2.32,2.16,0
-6.56,-3.15,5
1.78,1.63,0
5.57,3.5,3
-6.66,-1.06,6
-5.8,-3.26,5
-6.92,-3.36,5
-1.35,-2.02,1
3.53,2.58,0
-6.74,-3.8,5
4.91,4.26,3
-5.89,-3.79,5
3.49,2.54,0
4.0,3.32,0
-5.73,-0.58,6
4.83,3.26,0
-6.96,-3.16,5
-6.87,-3.83,5
-6.2,-0.3,6
2.62,2.45,0
-6.24,0.02,6
-6.63,-1.47,6
-6.24,-0.07,6
-5.82,-3.46,5
-7.04,-4.36,5
-5.77,-0.42,6
-5.8,-0.49,0
-5.28,-0.44,6
-5.69,-4.27,5
2.03,1.8,0
-4.66,-3.19,5
-6.97,-3.62,5
-7.02,-3.67,5
-6.74,-3.91,0
6.39,3.67,0
-6.31,-0.38,6
-1.52,-2.69,1
-5.96,-0.38,6
-5.66,-4.51,5
-5.09,-3.16,5
-4.09,-1.25,1
1.82,2.44,0
-1.26,-2.72,1
3.72,2.9,0
1.26,3.28,0
2.94,2.1,0
-5.63,-3.33,5
-0.87,-1.8,1
