hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
7.171,2.484,175,CD8_c3_Tn,0.983,0.011,0.483,0.032,0.044,0.166,0.013,0.367,0.156,1.157,0.053,0.767,0.285,0.046,0.111,0.348,0.314,0.13,0.627,0.228,0.142,0.533,0.061,0.024,0.0
7.028,2.733,91,CD8_c3_Tn,0.934,0.055,0.298,0.081,0.114,0.265,0.105,0.495,0.086,0.734,0.147,0.352,0.18,0.13,0.408,0.47,0.155,0.048,0.42,0.199,0.037,0.486,0.059,0.039,0.05
7.315,2.733,184,CD8_c3_Tn,0.995,0.03,0.518,0.074,0.037,0.195,0.076,0.567,0.186,0.979,0.149,0.555,0.469,0.0,0.243,0.236,0.278,0.063,0.705,0.174,0.055,0.615,0.008,0.036,0.027
7.171,2.981,310,CD8_c3_Tn,0.987,0.0,0.587,0.063,0.039,0.16,0.019,0.483,0.124,0.956,0.087,0.469,0.29,0.032,0.243,0.219,0.189,0.088,0.429,0.128,0.102,0.382,0.051,0.02,0.136
-1.004,2.733,82,CD8_c0_t-Teff,1.0,0.037,0.316,0.338,0.0,0.147,0.027,0.379,0.112,1.286,0.196,0.736,0.051,0.344,0.554,0.527,0.533,0.249,0.254,0.44,0.26,0.295,0.128,0.046,0.221
8.319,2.484,36,CD8_c3_Tn,1.0,0.0,0.394,0.0,0.0,0.0,0.105,0.527,0.0,0.983,0.194,0.753,0.557,0.0,0.043,0.0,0.101,0.046,0.81,0.03,0.07,0.31,0.0,0.0,0.0
7.315,2.236,160,CD8_c3_Tn,0.994,0.014,0.526,0.031,0.015,0.031,0.015,0.344,0.076,1.4,0.103,0.746,0.398,0.01,0.065,0.193,0.223,0.221,0.854,0.209,0.078,0.718,0.052,0.063,0.03
-4.016,3.975,228,CD8_c2_Teff,0.991,0.008,0.509,0.069,0.011,1.432,0.028,1.496,0.003,1.081,0.216,0.722,0.048,0.092,1.061,0.123,0.433,0.302,0.141,0.293,0.116,0.192,0.039,0.0,0.729
-3.442,1.49,99,CD8_c2_Teff,0.97,0.019,0.815,0.117,0.035,1.602,0.071,1.148,0.018,0.661,0.224,1.076,0.124,0.109,1.569,0.207,0.481,0.549,0.403,0.972,0.602,0.197,0.152,0.146,0.816
2.008,1.987,205,CD8_c0_t-Teff,0.868,0.102,1.291,0.238,0.027,0.442,0.04,1.13,0.114,1.455,0.254,0.861,0.077,0.364,0.468,1.533,1.123,0.21,0.215,0.647,0.103,0.395,0.143,0.222,0.688
8.462,2.236,113,CD8_c3_Tn,1.0,0.0,0.303,0.0,0.0,0.0,0.0,0.435,0.048,0.973,0.174,0.751,0.565,0.0,0.104,0.0,0.125,0.039,0.77,0.169,0.041,0.711,0.0,0.0,0.051
0.861,4.471,179,CD8_c6_Tcm,0.994,0.009,0.685,0.334,0.003,0.194,0.005,0.285,0.019,0.788,0.192,0.318,0.058,0.087,0.308,0.923,0.608,0.07,0.08,0.218,0.149,0.234,0.153,0.032,0.245
6.884,2.981,38,CD8_c3_Tn,0.895,0.0,0.298,0.223,0.04,0.521,0.046,0.779,0.0,0.99,0.113,0.269,0.0,0.093,0.848,0.618,0.619,0.0,0.224,0.416,0.296,0.327,0.12,0.055,0.185
6.741,2.733,7,CD8_c3_Tn,0.714,0.339,0.485,0.0,0.0,0.736,0.347,0.439,0.0,1.215,0.391,0.493,0.0,0.0,0.483,1.307,0.301,0.253,0.253,0.0,0.347,0.0,0.0,0.253,0.0
7.028,2.236,53,CD8_c3_Tn,0.981,0.066,0.698,0.033,0.021,0.267,0.0,0.434,0.177,1.712,0.0,0.278,0.407,0.038,0.346,0.394,0.412,0.154,0.187,0.225,0.22,0.486,0.039,0.0,0.068
-3.012,0.745,36,CD8_c10_Teff_CD244,0.861,0.16,1.173,0.25,0.167,1.074,0.115,0.98,0.038,0.715,0.152,0.572,0.075,0.434,1.104,0.438,0.375,0.551,0.359,0.599,0.373,0.505,0.169,0.044,0.362
6.884,1.49,270,CD8_c3_Tn,1.0,0.056,0.785,0.072,0.024,0.058,0.012,0.515,0.102,2.366,0.148,0.993,0.467,0.055,0.158,0.532,0.334,0.453,1.023,0.364,0.134,0.612,0.058,0.024,0.092
6.311,0.994,196,CD8_c3_Tn,0.99,0.056,1.05,0.114,0.037,0.114,0.059,0.773,0.128,2.522,0.2,1.275,0.515,0.083,0.385,0.507,0.519,0.551,1.03,0.657,0.176,0.72,0.027,0.045,0.052
6.454,1.242,211,CD8_c3_Tn,0.995,0.039,1.329,0.053,0.044,0.056,0.01,0.863,0.175,2.628,0.123,1.211,0.663,0.065,0.139,0.627,0.464,0.557,1.124,0.587,0.121,0.791,0.043,0.024,0.049
6.167,1.242,154,CD8_c3_Tn,0.994,0.025,1.543,0.011,0.027,0.068,0.031,0.752,0.078,2.476,0.184,1.301,0.645,0.049,0.132,0.848,0.424,0.712,1.098,0.506,0.116,0.89,0.02,0.012,0.048
6.741,1.242,382,CD8_c3_Tn,0.997,0.041,0.811,0.107,0.019,0.068,0.029,0.611,0.075,2.476,0.178,1.075,0.509,0.068,0.185,0.622,0.357,0.486,1.098,0.475,0.118,0.673,0.037,0.069,0.087
6.597,1.49,110,CD8_c3_Tn,1.0,0.049,0.994,0.028,0.045,0.01,0.026,0.695,0.147,2.594,0.116,1.226,0.452,0.034,0.223,0.786,0.425,0.381,1.18,0.399,0.213,0.696,0.071,0.037,0.059
4.016,0.0,43,CD8_c0_t-Teff,0.86,0.0,1.016,0.573,0.049,0.904,0.139,0.884,0.03,3.183,0.291,0.646,0.169,0.108,0.979,0.744,0.531,0.404,0.513,0.735,0.111,0.734,0.0,0.556,0.033
7.028,1.739,166,CD8_c3_Tn,0.994,0.031,0.748,0.021,0.047,0.021,0.035,0.491,0.161,2.168,0.155,1.012,0.418,0.043,0.253,0.559,0.284,0.399,1.174,0.419,0.124,0.67,0.03,0.042,0.042
