UMAP_1,UMAP_2,state
7.101,2.61,CD8_c3_Tn
7.198,2.647,CD8_c3_Tn
7.208,2.745,CD8_c3_Tn
7.135,3.014,CD8_c3_Tn
-0.948,2.613,CD8_c0_t-Teff
7.231,3.053,CD8_c3_Tn
7.088,2.69,CD8_c3_Tn
7.048,2.607,CD8_c3_Tn
7.094,2.793,CD8_c3_Tn
-4.079,4.036,CD8_c3_Tn
-3.443,1.592,CD8_c2_Teff
7.175,2.518,CD8_c3_Tn
8.398,2.294,CD8_c3_Tn
0.853,4.627,CD8_c6_Tcm
7.116,2.862,CD8_c3_Tn
6.914,2.787,CD8_c3_Tn
7.116,2.47,CD8_c3_Tn
7.083,2.711,CD8_c3_Tn
7.093,2.664,CD8_c3_Tn
6.992,2.131,CD8_c3_Tn
7.146,2.758,CD8_c3_Tn
-2.909,0.735,CD8_c10_Teff_CD244
6.978,2.952,CD8_c3_Tn
7.069,2.876,CD8_c3_Tn
7.139,2.529,CD8_c3_Tn
6.987,1.584,CD8_c3_Tn
6.514,1.196,CD8_c3_Tn
6.7,1.456,CD8_c3_Tn
4.078,-0.029,CD8_c0_t-Teff
6.896,1.713,CD8_c3_Tn
6.594,1.42,CD8_c3_Tn
0.077,3.196,CD8_c3_Tn
5.933,1.062,CD8_c3_Tn
6.645,1.449,CD8_c3_Tn
6.755,1.17,CD8_c3_Tn
6.991,1.56,CD8_c3_Tn
6.801,1.368,CD8_c3_Tn
6.553,1.123,CD8_c3_Tn
6.405,0.94,CD8_c3_Tn
7.393,1.874,CD8_c3_Tn
6.666,1.36,CD8_c3_Tn
6.622,1.581,CD8_c3_Tn
6.518,1.201,CD8_c3_Tn
6.546,1.199,CD8_c3_Tn
6.372,1.306,CD8_c3_Tn
-3.086,-6.398,CD8_c7_p-Tex
-4.07,-6.057,CD8_c1_Tex
6.401,1.218,CD8_c3_Tn
6.362,1.028,CD8_c3_Tn
6.506,1.145,CD8_c3_Tn
