hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
5.714,7.483,402,ITGAE+ Trm,0.306,0.051,1.763,0.927,0.244,1.505,0.251,1.064,0.072,1.254,0.939,0.306,0.072,0.313,1.38,1.312,0.827,0.094,0.314,0.771,0.282,0.087,0.287,0.359,0.561
6.968,10.138,531,XBP1+ Tex,0.878,0.085,0.709,0.624,0.201,2.299,0.308,1.553,0.003,0.243,0.273,0.828,0.053,0.214,2.239,0.283,0.866,0.253,0.03,1.128,0.329,0.033,0.47,0.579,0.267
8.222,9.897,183,Cycling T,0.661,0.018,1.218,0.379,0.241,2.018,0.35,1.539,0.019,0.355,0.317,0.854,0.083,0.113,1.67,0.179,0.674,0.266,0.116,1.011,0.151,0.021,0.222,0.281,0.159
6.132,8.69,510,XBP1+ Tex,0.549,0.048,1.242,0.8,0.256,1.675,0.358,1.131,0.033,0.759,0.54,0.521,0.059,0.2,1.416,0.506,0.67,0.181,0.209,0.98,0.211,0.051,0.195,0.272,0.283
7.247,10.621,297,XBP1+ Tex,0.97,0.117,0.799,0.222,0.134,2.746,0.322,1.865,0.003,0.078,0.208,1.442,0.12,0.221,2.735,0.292,1.223,0.444,0.021,1.095,0.387,0.01,0.661,0.716,0.507
6.829,10.379,439,XBP1+ Tex,0.681,0.075,0.898,0.571,0.166,2.374,0.33,1.6,0.006,0.163,0.238,0.98,0.058,0.157,2.342,0.194,0.889,0.309,0.036,1.087,0.346,0.009,0.363,0.815,0.337
5.574,10.138,751,ZNF683+ Teff,0.987,0.021,1.499,0.787,0.111,1.694,0.507,1.452,0.009,0.306,0.279,0.207,0.071,0.032,1.691,0.103,0.364,0.22,0.264,1.139,0.124,0.019,0.083,1.051,0.077
7.804,10.138,247,XBP1+ Tex,0.87,0.075,0.947,0.631,0.138,2.309,0.353,1.775,0.0,0.087,0.246,0.267,0.037,0.204,2.31,0.423,0.797,0.072,0.063,0.908,0.326,0.005,0.556,0.774,0.32
6.968,10.621,173,XBP1+ Tex,0.746,0.067,0.91,0.418,0.105,2.524,0.498,1.793,0.0,0.092,0.252,1.233,0.077,0.124,2.51,0.268,1.017,0.414,0.069,1.188,0.285,0.012,0.479,0.947,0.373
6.132,8.207,541,ITGAE+ Trm,0.296,0.03,1.468,1.073,0.353,1.4,0.345,1.136,0.037,1.374,0.933,0.317,0.083,0.359,1.184,1.259,0.652,0.094,0.188,0.97,0.278,0.084,0.366,0.218,0.457
