UMAP_1,UMAP_2,state
7.292,10.567,XBP1+ Tex
6.124,8.251,ITGAE+ Tex
4.836,8.393,ZNF683+ Teff
6.967,7.855,ITGAE+ Tex
5.504,8.63,ITGAE+ Tex
7.392,9.798,XBP1+ Tex
7.365,10.033,XBP1+ Tex
5.162,9.102,ZNF683+ Teff
7.69,10.418,XBP1+ Tex
8.497,7.704,ITGAE+ Tex
6.376,8.164,MACF1+ T
6.603,9.987,XBP1+ Tex
5.352,8.234,ITGAE+ Tex
6.771,10.037,XBP1+ Tex
7.714,9.932,XBP1+ Tex
7.48,9.562,XBP1+ Tex
5.799,8.274,ITGAE+ Tex
3.758,9.953,ZNF683+ Teff
7.992,10.1,XBP1+ Tex
5.353,10.499,XBP1+ Tex
7.855,10.137,XBP1+ Tex
7.483,10.082,XBP1+ Tex
7.553,10.376,XBP1+ Tex
7.017,7.499,ITGAE+ Tex
7.539,10.05,XBP1+ Tex
7.894,10.228,XBP1+ Tex
7.848,10.15,XBP1+ Tex
6.78,7.788,ITGAE+ Tex
3.689,9.655,ZNF683+ Teff
7.092,10.223,XBP1+ Tex
6.882,10.009,XBP1+ Tex
7.99,10.156,XBP1+ Tex
7.673,10.472,XBP1+ Tex
4.802,8.981,ITGAE+ Tex
6.232,8.506,MACF1+ T
6.62,10.382,XBP1+ Tex
7.424,10.576,XBP1+ Tex
4.654,8.048,ZNF683+ Teff
7.036,10.467,XBP1+ Tex
9.65,9.802,Cycling T
4.404,8.887,ITGAE+ Tex
7.006,7.771,ITGAE+ Tex
7.466,8.734,XBP1+ Tex
7.138,10.073,XBP1+ Tex
8.94,10.239,Cycling T
7.213,10.169,XBP1+ Tex
6.54,8.079,ITGAE+ Tex
5.519,5.656,Tcm
7.639,10.31,XBP1+ Tex
7.466,10.209,XBP1+ Tex
6.734,10.267,XBP1+ Tex
7.157,10.542,XBP1+ Tex
6.999,10.272,XBP1+ Tex
7.054,9.94,XBP1+ Tex
6.152,8.951,MACF1+ T
7.202,10.501,XBP1+ Tex
7.08,10.399,XBP1+ Tex
6.531,9.071,XBP1+ Tex
7.361,10.297,XBP1+ Tex
8.187,10.407,XBP1+ Tex
7.36,8.94,XBP1+ Tex
5.291,8.541,ITGAE+ Tex
7.032,9.222,XBP1+ Tex
7.586,10.631,XBP1+ Tex
6.735,10.44,MACF1+ T
